Titre;Créateur;Sujet;Editeur;Type;Format;Identifiant;Source;Langue;Résumé;Date de disponibilité;Date de publication;Importance matérielle;Couverture spatiale;Couverture temporelle;Licence;P35 has identified;P70 documents;P4 has time-span;P14 carried out by;P1 is identified by;P2 has type;;;;;;;;;;;
Surzur (56). 22 rue des Farfadets. Rapport de diagnostic.;http://www.viaf.org/viaf/42148812646245211018 Gâche, David;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56248;;;Les résultats sont indigents et consistent en trois tronçons de fossé. L’un d’eux se situe dans le prolongement d’un autre fossé découvert lors du diagnostic de « Kerbihan » (2015) localisé à environ 70 m à l’ouest. Ce tracé pourrait être associé à la voie antique en tant que fossé bordier.;Disponible;2023;1 vol. (42 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Rosporden (29). Villeneuve Cadol-Coat Canton. Rapport de Diagnostic.;Le Gall, Valérie;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56199;;;L’étude du mobilier céramique révèle la présence d’artéfacts datés de l’âge du Bronze. Cependant aucune structure de cette période n’a été découverte au cours de l’opération. L’occupation principale mise en évidence au cours de ce diagnostic correspond à un enclos fossoyé partiellement découvert en limite sud de l’opération, le site se développant en dehors de l’emprise prescrite. La découverte de scories dans le comblement d’un des fossés nous révèle la présence d’une activité artisanale liée au travail du fer. Le mobilier céramique découvert dans ce secteur situe l’occupation entre la fin de la période de l’âge du Fer et la période antique.;Disponible;2023;1 vol. (80 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Uniac (35). Lezenach. Rapport de diagnostic;http://www.viaf.org/viaf/42148812646245211018 Gâche, David;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56220;;;Les vestiges les plus remarquables sont constitués d’un enclos ovalaire (partiellement compris dans l’emprise du diagnostic) associé à au moins deux souterrains. Enfin, deux sépultures secondaires à crémation ont été découvertes et fouillées à quelques dizaines de mètres de l’enclos.;Disponible;2023;1 vol. (104 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plougastel-Daoulas (29). Rapport de prospection diachronique.;Merceron, Laure;;Conseil Départemental du Finistère. Service départemental de l’Archéologie;;;56106;;;Ces prospections diachroniques et systématiques sur l’ensemble des sections cadastrales de la commune de Plougastel-Daoulas ont pour buts : de compléter la carte archéologique nationale, d’enregistrer de potentiels abris sous roche afin de poursuivre l’inventaire auquel le CFRA avait déjà contribué dans le cadre du programme « Tous aux Abris » dirigé par Grégor Marchand et de Nicolas Naudinot (CNRS-CEPAM UMR 7264 Nice UMR 6566 CReAAH),d’établir un état des lieux des sites déjà répertoriés en exploitant la Carte Archéologique Nationale et les publications anciennes.;Disponible;2023;1 vol. (84 p.) ;;;;;;;;;;;;;;;;;;;;
Leuhan (29). Tumulus de Saint-Bélec. Rapport de fouilles programmées 2022.;http://www.viaf.org/viaf/91146822110707380727 Nicolas, Clément | http://www.viaf.org/viaf/58608823 Pailler, Yvan;;https://www.idref.fr/026403021 Université de Bretagne Occidentale;;;56144;;;Connu pour avoir livré en 1900 une dalle gravée en schiste, récemment interprétée comme une carte, le tumulus de Saint-Bélec à Leuhan (Finistère) a fait l’objet d’une nouvelle campagne de fouilles à l’automne 2022. L’objet de cette campagne était de s’assurer qu’il s’agissait du bon monument et surtout de mieux comprendre son histoire et celle de la dalle gravée.;Disponible;2023;1 vol. (129 p.) : ill. coul. ;;;;;;;;;;;;;;;;;;;;
Trémuson (22). La Ville Hamonet : une ferme gauloise des Ve et IVe s avant notre ère. Rapport de fouille;Baillieu, Claire;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;55951;;;L’opération archéologique n’a concerné qu’une partie de l’enclos, un quart environ. Cet enclos est celui d’une ferme dont l’occupation couvre la première moitié du second âge du Fer.La fouille a aussi permis de mettre au jour une modeste occupation domestique datée de la transition bas Moyen Âge/Époque moderne qui se développe à l’intérieur d’un petit enclos.;En attente de validation par la CTRA;2023;1 vol. (276 p.) : ill. coul. ;;;;;;;;;;;;;;;;;;;;
En remontant le fleuve - Paysage et sociètés du Blavet préhistorique . PCR. Rapport d'opération programmé 2022.;http://www.viaf.org/viaf/1200159234717103372444 Crowch, Aurélie;;Conseil départemental du Morbihan;;;56148;;;La problématique principale du projet concerne la dynamique d’occupation de ce territoire au cours de la Préhistoire, en étudiant l’évolution des stratégies d’implantation et d’exploitation des ressources par les chasseurs-collecteurs, puis les premiers agriculteurs. Afin de répondre au mieux à cette problématique principale, cinq axes de travail ont été définis. Cette approche qualifiée de pluridisciplinaire, dans la perspective d’une analyse systémique, paraît la plus amène de faire progresser nos connaissance de ce secteur géographique.;Disponible;2023;1 vol. (450 p.) : ill. coul. ;;;;;;;;;;;;;;;;;;;;
Carhaix-Plouguer (29). 7 bis rue Guy Ropartz;http://www.viaf.org/viaf/24785044 Le Cloirec, Gaétan;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;56228;;;Les résultats sont modestes puisqu’un seul fossé curviligne et une fosse subcirculaire sont les deux seules structures vraiment évidentes. Faute de mobilier caractéristique, il faut seulement noter la divergence d’orientation entre le fossé et les axes habituels de la trame urbaine antique.;Disponible;2023;1 vol. (44 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Roscanvel (29). Fort de la Fraternité; four à boulets. Rapport de fouille programmeé 2022.;Louessard, Ronan;;Association 1846;;;56155;;;Le four à rougir les boulets du fort de la Fraternité appartient à un type de fourneau mis au point par le général Meusnier à la fin du XVIIIe siècle. Il se caractérise cependant du peu de fours subsistant par l’utilisation poussée du métal dans son architecture, notamment dans un rôle structurel. L’état de délabrement du four a paradoxalement facilité la compréhension de sa mise en oeuvre et de son fonctionnement. Cette opération archéologique et a été suivie d’une consolidation rapide de ses vestiges et d’une restauration en vue d’une mise en valeur du site. Le four à boulets du fort de la Fraternité à Roscanvel vient ainsi s’ajouter à la petite dizaine de fours à boulets connus en France, à comparer aux dizaines de ces édifices qui ont été bâtis sur ses côtes pendant un temps très court, essentiellement durant la Révolution.;En attente de validation par la CTRA;2023;1 vol. (55 p.) : ill. coul. ;;;;;;;;;;;;;;;;;;;
Sarzeau (56). Château de Suscinio; logis nord. Rapport de fouille programmée 2022.;http://www.viaf.org/viaf/508159234258103371010 Vincent, Karine;;Conseil départemental du Morbihan;;;56186;;;Le principal apport de cette opération reste d’avoir confirmé le plan du logis Nord dans son premier état, avec la surprise d’identifier une nouvelle salle en rez-de-chaussée. Cette cave, pouvant faire office de bouteillerie, complète ainsi la topographie domestique d’un vaste logis pourvu de toutes les marques du palais. En second lieu, les données relatives au programme de construction des Montfort - Jean IV puis Jean V - sont encore une fois la preuve des travaux conséquents menés par ces deux bâtisseurs sur cette résidence ducale.;Disponible;2023;1 vol. (105 p.) : ill. coul. ;;;;;;;;;;;;;;;;;;;
Rapport annuel de prospection inventaire : CERAPAR 2022.;http://www.viaf.org/viaf/283458927 Corre, André;;Centre de Recherches Archéologiques du Pays de Rennes  (CERAPAR);;;56154;;;;Disponible;2023;1 vol. (280 p.) : ill. coul. ;;;;;;;;;;;;;;;;;;;;
Lauzac'h (56). La Haie : ensemble funéraire protohistorique et occupations rurales de l'âge du Fer et antique. Rapport de diagnostic;Escats, Yoann;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56219;;;L’indice le plus ancien correspond à un groupe de cinq sépultures à inhumation. Une d’entre elles a été datée du Chalcolithique. Un ensemble de fossés a été mis en évidence  ainsi que deux systèmes d’enclos remontant vraisemblablement au second âgedu Fer. Dans le même secteur de l’enclos protohistorique on assiste ensuite à une nouvelle occupation, matérialisée par une proportion assez importante de mobilier gallo-romain.;Disponible;2023;1 vol. (135 p.) : ill. coul. ;;;;;;;;;;;;;;;;;;;;
Plomelin (29). Kergreis. La villa du Pérennou. Rapport de fouille programmée 2022.;http://www.viaf.org/viaf/194705483 Arramond, Jean-Charles;;https://www.idref.fr/031435238 Bretagne. Service régional de l'archéologie | Conseil Départemental du Finistère. Service départemental de l’Archéologie;;;56176;;;;Disponible;2022;1 vol. (171 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
La Chapelle-des-Fougeretz (35). Le Haut Plessis. Rapport de diagnostic;http://www.viaf.org/viaf/36061111 Millet, Marie;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;56107;;;L’opération réalisée au manoir du Haut Plessis sur la commune de La Chapelle-des-Fougeretz a permis de faire une étude du bâti sur un logis-porche construit en pan de bois.;Disponible;2023;1 vol. (196 p.) : ill. coul. ;;;;;;;;;;;;;;;;;;;;
Corpus des signes gravés néolithiques. Programme Collectif de Recherche 2022.;http://www.viaf.org/viaf/37041727 Cassen, Serge;;Laboratoire de recherche en archéologie et architectures;;;56152;;;;En attente d'autorisation de l'auteur - consultable uniquement au SRA;2023;1 vol. ( 782 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Carhaix-Plouguer (29).14ter Avenue du Général de Gaulle; parcelle AM.495. Rapport de diagnostic.;http://www.viaf.org/viaf/24785044 Le Cloirec, Gaétan;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;56167;;;Trois structures ont seulement été mises au jour au niveau du substrat. Les plus évidentes correspondent à deux tronçons de fossés orientés est-ouest apparus dans le sondage oriental. Séparés de 2,60 m, ces creusements présentent un même profil semi-circulaire d’une trentaine de centimètres de profondeur pour des largeurs de 80 cm et 1 m. Les deux sont comblés de terre limoneuse grisâtre contenant des pierres de schiste, des fragments de terre cuite architecturale et quelques coquilles d’huîtres.;Disponible;2023;1 vol. (48 p.) : ill. coul. ;;;;;;;;;;;;;;;;;;;
La Roche-Maurice (29). Château de Roc'h Morvan. Enceinte Basse. Rapport de fouille programmée 2022.;Pérennec, Ronan;;Conseil Départemental du Finistère. Service départemental de l’Archéologie;;;56173;;;La fouille menée dans la moitié occidentale de l’enceinte basse a permis de faire progresser nos connaissances tant sur le plan et l’organisation interne du château, que sur son évolution chronologique.;Disponible;2023;1 vol. (295 p.) : ill. ;;;;;;;;;;;;;;;;;;;;
Prospection - inventaire nord de la haute-bretagne : arrondissements de Dinan (22); Saint-Brieuc (22); Guingamp (22); Rennes (35); Fougères (35); Saint-Malo (35). Region Bretagne 2022;http://www.viaf.org/viaf/24828106 Bizien-Jaglin, Catherine;;https://www.idref.fr/026475979 Centre régional d'archéologie d'Alet;;;56184;;;;Disponible;2023;4 vol. (72, 147 , 140, 154 p.) : ill. coul. ;;;;;;;;;;;;;;;
Vildé-Guingalan (22). Rue du stade; le Grand Clos.;Le Forestier, Solenn;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;56234;;;L’opération a permis de confirmer la présence de ces vestiges et mettre au jour très longue occupation, de la Préhistoire à nos jours.;Disponible;2023;1 vol. (82 p.) : ill. coul. ;;;;;;;;;;;;;;;;;;;
Deuxième campagne de fouille programmée sur le site multi-périodes de Porz Ar Puñs; île de Béniguet (Le Conquet; Finistère);http://www.viaf.org/viaf/58608823 Pailler, Yvan | http://www.viaf.org/viaf/91146822110707380727 Nicolas, Clément;;https://www.idref.fr/026403021 Université de Bretagne Occidentale;;;56185;;;En 2022, nous avons donc élargi la tranchée 1 de manière à disposer d’une fenêtre permettant d’observer spatialement les faits archéologiques repérés. Dans les niveaux supérieurs, ce sont des vestiges de la période contemporaine et de la fin du Moyen Âge qui ont pu être documentés. Sous l’épaisse couche de sable blanc quasi-stérile (US H4), nous avons atteint les couches attribuables au Bronze ancien (US X0 et X1) dont nous avons entamé la fouille. La découverte de structures empierrées (murets, dallage et un trou de piquet) laisse penser que le site ne correspond pas seulement à un lieu de dépotoir mais que des structures d’habitation sont toutes proches. De même, la reconnaissance de stries perpendiculaires pourrait indiquer une mise en culture du secteur dès le Bronze ancien.;Disponible;2023;1 vol. (238 p.) : ill. ;;;;;;;;;;;;;;;;;;
Châtelaudren-Plouagat (22). ZA Kertedevant : Habitat et voirie de l'âge du Fer. Rapport de fouille;http://www.viaf.org/viaf/41873469 Leroux, Gilles;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;55865;;;La fouille menée près du lieu-dit Kertédevant, sur la commune de Châtelaudren-Plouagat (Côtes d’Armor), au cours de l’automne 2020, a été l’occasion d’étudier des vestiges aussi différents que particuliers. En effet, ceux-ci correspondent d’une part à une voie de circulation protohistorique sans doute importante à l’échelle locale mais totalement inédite et d’autre part à un habitat du second âge du Fer ne s’inscrivant pas d’emblée dans un enclos.;En attente de validation par la CTRA;2023;1 vol. (p.) : ill. coul. ;;;;;;;;;;;;;;;;;;;;
La Mézière (35). ZAC de la Beauvairie : Pars rustica de la villa gallo-romaine du Chêne Hamon et portion arasée des Lignes de La Gonzée. Rapport de fouille;Simier, Bastien;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;55425;;;La fouille de la ZAC de la Beauvairie est la deuxième opération archéologique d’envergure réalisée sur la commune de La Mézière. La première en 2012 a concerné des terrains situés à une centaine de mètres au sud-ouest (ZAC des Lignes de La Gonzée). Ces derniers avait révélé notament un grand établissement gallo-romain interprété comme une villa (villa du Chêne Hamon). La fouille de la ZAC de La Beauvairie, a livré à son tour la suite de l’occupation antique et confirmé les hypothèses émises en 2012.La fouille a également révélé une portion arasée des Lignes de La Gonzée.;Disponible;2022;1 vol. ( 453 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Saint-Grégoire (35). 13 route de la Fouinardière.;Battais, Rozenn;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56121;;;Le diagnostic archéologique se trouve à proximité de l’ancien manoir des Aulnayes-Gonidec dont une partie du tracé des anciennes douves est encore visible. Une motte castrale encore visible aujourd’hui, à l’estde l’emprise prescrite, serait à l’origine du domaine manoriale. Les structures misent à jour sont majoritairement de la fin du Moyen Âge ou du début de l’époque moderne. Il s’agit du tracé est des douves avec probablement un système de franchissement. Les vestiges très arasés d’une grange également présente sur le cadastre ancien ont également été découverts. Des structures dont la dernière phase daterait du XVe siècle ont également été mises au jour. Il s’agit d’un chemin, d’un fossé et de quelques trous de poteau. Ils pourraient se rattacher au manoir de la fin du Moyen Âge.;Disponible;2022;1 vol. (76 p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Ploëzal (22). Route de Tachen Touz : un carrefour de tous temps. Rapport de diagnostic;Cavanillas, Julie;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56163;;;Ce diagnostic a permis de mettre en évidence le tracé de la voie représentée sur la carte archéologique, il a également permis de mettre au jour cinq autres tracés. Par ailleurs, la découverte d’un vase tronconique de petites dimensions avec son couvercle, datant vraisemblablement de l’âge du Bronze, constitue la deuxième découverte majeure de ce diagnostic.;Disponible;2022;1 vol. (94 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plouguerneau (29). Douar Nevez. Structuration et mise en valeur d’un terroir;Cavanillas, Julie;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56166;;;Ce diagnostic a permis, malgré le foisonnement de structures, de mettre en évidence quelques éléments parcellaires datés de l’âge du Bronze et plus largement de la Protohistoire, ainsi qu’une fosse ayant livré de la céramique datée du Bronze moyen. Par ailleurs, plusieurs structures non datées mais antérieures à des structures de la périodes médiévales ont été découvertes. La période médiévale est extrêmement bien représentée dans ce diagnostic, avec la mise en place d’un parcellaire dès le Haut Moyen Âge, qui se développe et se subdivise au XI - XIIIe s, et subit encore de nombreuses subdivision jusqu’au XVe s. Enfin un chemin médiéval a été mis au jour au nord, en limite d’emprise.;Disponible;2022;1 vol. (100 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Dinan (22). 8-10-12 rue de Grâce. Rapport de diagnostic;Battais, Rozenn;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56091;;;Les structures les plus anciennes observées correspondent à de possibles fosses d’extraction de granite. Elles n’ont pu être fouillées dans leur intégralité mais le mobilier présent dans leur comblement indiquerait une fin d’exploitation aux XIII-XIVe siècle. Les autres vestiges de cette occupation prennent la forme de structures excavées qui pourraient être des latrines dont l’abandon remonterait au XVIe siècle.La majorité des maçonneries découvertes correspondent au bâti visible sur le cadastre de 1843.;Disponible;2022;1 vol. (74 p.) :ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Corseul (22). Les Mottes 2 : Entre enclos protohistoriques et paysage de bord de voie gallo-romaine. Rapport de fouille;Le Merrer, Audrey;;;;;55710;;;Les données recueillies mettent en évidence un paysage rurale s’organisant autour de deux axes routiers, prolongements des decumani 1 et 3 de la capitale de cité voisine. Durant les Ier et IIe siècles de notre ère, des systèmes parcellaires rigoureux sont identifiés. En parallèle à ces tracés fossoyés sont retrouvés des fosses-cellier, un puits, fouillé intégralement par la Cisap et les fondations d’un édicule installé en bordure de voie. À partir du milieu du IIe siècle et dans un paysage n’évoluant guère, le secteur semble désormais se doter d’un véritable espace consacré, comme en témoigne l’installation d’un nouveau bâtiment maçonné.;Disponible;2022;1 vol. (322 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Carentoir (56). Montvollet. Rapport de diagnostic;Barbeau, Sandrine;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56188;;;L’opération de diagnostic archéologique a permis de mettre en évidence, dans l’emprise nord, les vestiges très arasés d’une occupation enclose datant au plus tôt de la période gallo-romaine, un terminus post quem reposant sur la mince donnée chronologique fournie par la découverte de quelques fragments de tegulae et imbrex dans le fossé d’enclos et une fosse. Dans l’emprise sud, une quinzaine de trous de poteau témoignent d’une occupation ancienne pouvant datée de l’âge du Bronze. La présence de deux réseaux de fossés parcellaires indique l’existence d’une organisation paysagère ancienne sans toutefois d’éléments archéologiques pour pouvoir les dater.;Disponible;2022;1 vol. (64 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Sixt-sur-Aff (35). La Ville en Noyal. Rapport de diagnostic;Baillieu, Claire;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56189;;;Le diagnostic a permis de confirmer la présence d’un enclos rectangulaire aux angles arrondis d’environ 33 m sur 40 m. Malgré un taux d’ouverture important à l’intérieur de l’enclos, quasiment aucune structure n’a été décelée dans l’enclos. A cela s’ajoute également une absence de mobilier au niveau du fossé d’enclos, sondé sur chacune de ses façades. Un prélèvement de sédiment au fond du fossé a toutefois permis de le dater entre 540 et 640 après J.-C. Ces observations invitent à penser qu’on est là en présence d’un enclos agro-pastoral dont le fossé a pour vocation de clore et drainer une parcelle.;Disponible;2022;1 vol. (54 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Plouguerneau (29). Saint-Michel. Rapport de diagnostic;Kergourlay, Anne;;Conseil Départemental du Finistère. Service départemental de l’Archéologie;;;56197;;;Le diagnostic archéologique qui a eu lieu sur la parcelle AW 001 sur laquelle trois coffres de l’âge du Bronze ont été fouillés en 1880 et 1881 n’a pas permis la découverte de vestiges datés. Hormis quelques éléments lithique rien n’indique la présence en place d’un site plus ancien en lien avec le site mésolithique en contrebas.;Disponible;2022;1 vol. (72 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Pont-Scorff (56). Les hauts de Ty Nuhué. Rapport de diagnostic;Mathonnat, Delphine;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;56129;;;Nos investigations ont mené à la mise au jour de structures archéologiques liées en majorité à l’aménagement agricole de la parcelle, toutes périodes confondues. Cependant, la présence de mobilier céramique dans deux structures (une fosse et un trou de poteau), ainsi qu’une datation ¹⁴C effectuée dans le comblement d’un puits rapproche une partie de l’occupation à la Protohistoire (âge du Bronze final). Les éléments découverts restent cependant très épars, ne déterminant aucune implantation massive sur l’emprise, ce qui est à vrai dire une caractéristique des habitats de l’âge du Bronze. En effet, ce type d’habitat témoigne régulièrement d’occupations lâches constituées de fermes isolées exploitant le territoire environnant.;Disponible;2022;1 vol. (80 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
Melesse (35). Le Champ Courtin : un établissement rural du second âge du Fer en territoire Riedone. Rapport de fouille;Hamon, Anne-Louise;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives;;;55854;;;Hormis une fosse de piégeage isolée, attribuable à toute période de la Protohistoire, et une cavité gallo-romaine, l’essentiel des découvertes réalisées à l’occasion de la fouille du site du Champ Courtin concerne un habitat enclos daté du second âge du Fer.;Disponible;2022;1 vol. (266 p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;;
